Loaded 873 existing candidates (50 passing)

=== mochajs/mocha ===
  fetched 800 failed runs
    8af5d0b -> 7bbc945 [fail(too_many_commits(11))] - 
    c3dd839 -> 7bbc945 [fail(too_many_commits(12))] - 
    84b27a9 -> 7bbc945 [fail(too_many_commits(14))] - 
    f8a4eca -> b07e56a [fail(too_many_commits(105))] - 
    bad7b36 -> fcc839f [fail(multi_prod_file)] - 
    3660ed2 -> fcc839f [fail(multi_prod_file)] - 
    f2a1811 -> 96bbbd7 [fail(diff_too_large(533))] - 
    2e87b25 -> b6a5d12 [fail(no_prod_file)] - 
    16d24fb -> 16d24fb [fail(same_sha_rerun)] - 
    a908b3b -> 46cd926 [fail(too_many_commits(207))] - 
    a9dbb2d -> 16d24fb [fail(no_prod_file)] - 
    cd7fc27 -> 16d24fb [fail(no_prod_file)] - 
    916452f -> 16d24fb [fail(no_prod_file)] - 
    f68c935 -> f68c935 [fail(same_sha_rerun)] - 
    5cde7f5 -> 5cde7f5 [fail(same_sha_rerun)] - 
    24713bf -> 16d24fb [fail(no_prod_file)] - 
    221ff72 -> 46cd926 [fail(too_many_commits(210))] - 
    d4168ae -> 46cd926 [fail(too_many_commits(213))] - 
    554fb1f -> efb05c8 [fail(log_unavailable)] lib/interfaces/common.js 
    d2e15e9 -> 24713bf [fail(log_unavailable)] lib/nodejs/esm-utils.js 
  kept=0 (out of 150 evaluated)
  -- total kept so far: 50

=== eslint/eslint ===
  fetched 779 failed runs
  604 new unique failing SHAs
  514 pairs have a next-passing run
    86e1b19 -> 86e1b19 [fail(same_sha_rerun)] - 
    1b2bdb6 -> 86e1b19 [fail(passing_behind_failing)] - 
    9472505 -> bd01099 [fail(too_many_commits(21))] - 
    f4fa829 -> 8c163e0 [fail(too_many_commits(24))] - 
    0a8e528 -> c96bd67 [fail(no_prod_file)] - 
    c79f0ab -> af764af [fail(too_many_commits(109))] - 
    daa1a3b -> 28d8554 [fail(too_many_commits(56))] - 
    6f3271b -> 31a908d [fail(too_many_commits(174))] - 
    3bdf12e -> 9a8b871 [fail(no_signal)] lib/services/warning-service.js 
    c483dda -> 8cd044d [fail(log_unavailable)] lib/rule-tester/rule-tester.js 
    32bcf31 -> 1b42c7f [fail(multi_prod_file)] - 
    2b26022 -> ffb245f [fail(log_unavailable)] lib/rule-tester/rule-tester.js 
    a1544ca -> 1b42c7f [fail(log_unavailable)] lib/rules/utils/ast-utils.js 
    824a67b -> 50d7b64 [fail(log_unavailable)] lib/rule-tester/rule-tester.js 
    9722fda -> cb0f6fe [fail(no_prod_file)] - 
    919704b -> 919704b [fail(same_sha_rerun)] - 
    ef1f199 -> 0eba955 [fail(no_prod_file)] - 
    c54d5e7 -> 3133712 [fail(no_prod_file)] - 
    4a3838d -> 50d7b64 [fail(log_unavailable)] lib/rule-tester/rule-tester.js 
    21d9954 -> 919704b [fail(no_prod_file)] - 
    7d74bb7 -> 5fffde9 [fail(diff_too_large(1993))] - 
    183f8d6 -> 1b42c7f [fail(too_many_commits(345))] - 
    8c85aee -> 5de4c4e [fail(no_prod_file)] - 
    d3ff9c6 -> 5de4c4e [fail(no_prod_file)] - 
    08616bd -> dd3b41d [fail(no_prod_file)] - 
    8584fc3 -> ce8b860 [fail(log_unavailable)] lib/cli-engine/formatters/stylish.js 
    f09f9e5 -> 41a05f0 [fail(no_prod_file)] - 
    efe38f5 -> ce8b860 [fail(log_unavailable)] lib/cli-engine/formatters/stylish.js 
    c7046e6 -> af764af [fail(too_many_commits(177))] - 
    6df148a -> 47ae445 [fail(too_many_commits(11))] - 
    f148a5e -> af764af [fail(too_many_commits(178))] - 
    5f96c05 -> 41a05f0 [fail(log_unavailable)] lib/rules/no-redeclare.js 
    386f00d -> ce8b860 [fail(log_unavailable)] lib/cli-engine/formatters/stylish.js 
    e8a4da9 -> 47ae445 [fail(log_unavailable)] lib/cli-engine/formatters/stylish.js 
    fb8bbb2 -> 47ae445 [fail(too_many_commits(12))] - 
    487bd45 -> 28d8554 [fail(too_many_commits(59))] - 
    ab565c0 -> 28d8554 [fail(too_many_commits(58))] - 
    f40a005 -> ecfe91b [fail(too_many_commits(10))] - 
    4899cf9 -> af764af [fail(too_many_commits(186))] - 
    c251aa6 -> 6b5a804 [fail(log_unavailable)] lib/rules/no-restricted-imports.js 
    2e06d22 -> ecfe91b [fail(log_unavailable)] lib/rule-tester/rule-tester.js 
    8c85be1 -> ecfe91b [fail(too_many_commits(11))] - 
    e7364ff -> ecfe91b [fail(too_many_commits(12))] - 
    fbdc6d6 -> bf96a25 [fail(no_prod_file)] - 
    0486ab2 -> 47ae445 [fail(too_many_commits(29))] - 
    94cbfb0 -> 47ae445 [fail(too_many_commits(30))] - 
    6526b5f -> ed00b36 [fail(no_prod_file)] - 
    bd88246 -> 47ae445 [fail(too_many_commits(31))] - 
    1ec4b7f -> ed00b36 [fail(no_prod_file)] - 
    932935a -> 47ae445 [fail(too_many_commits(32))] - 
    d2d0ba7 -> ed00b36 [fail(no_prod_file)] - 
    578954f -> 9f82d95 [fail(no_prod_file)] - 
    6713a4b -> ed00b36 [fail(no_prod_file)] - 
    4622771 -> ed00b36 [fail(no_prod_file)] - 
    e2f9c7b -> af764af [fail(too_many_commits(203))] - 
    bcfa74d -> bcfa74d [fail(same_sha_rerun)] - 
    2b86645 -> f190c16 [fail(no_prod_file)] - 
    f64f648 -> f190c16 [fail(no_prod_file)] - 
    290e287 -> f190c16 [fail(multi_prod_file)] - 
    40ac2bb -> bcfa74d [fail(no_prod_file)] - 
    d1318d9 -> ed00b36 [fail(log_unavailable)] lib/rule-tester/rule-tester.js 
    09e6654 -> af764af [fail(too_many_commits(208))] - 
    392b81d -> d992bed [fail(no_prod_file)] - 
    d6ed1f8 -> af764af [fail(too_many_commits(209))] - 
    1e2cad5 -> 7246f92 [fail(too_many_commits(218))] - 
    9da2679 -> 7246f92 [fail(too_many_commits(219))] - 
    758d247 -> 686e8b5 [fail(too_many_commits(12))] - 
    3d64e17 -> 7cfe2eb [fail(no_prod_file)] - 
    b212199 -> bbd369a [fail(no_prod_file)] - 
    51296c2 -> bbd369a [fail(no_prod_file)] - 
    c1613e7 -> 92494b4 [fail(no_prod_file)] - 
    e69f023 -> a03b450 [fail(no_prod_file)] - 
    5288f49 -> a03b450 [fail(no_prod_file)] - 
    0d60d7c -> a03b450 [fail(no_prod_file)] - 
    4db36ba -> bbd369a [fail(multi_prod_file)] - 
    7aca443 -> 4db36ba [fail(no_prod_file)] - 
    96512a6 -> 7246f92 [fail(too_many_commits(220))] - 
    1666c1e -> 778934a [fail(no_prod_file)] - 
    87c0816 -> 778934a [fail(no_prod_file)] - 
    db65810 -> 7aff6ee [fail(no_prod_file)] - 
    494f37f -> 1b48684 [fail(no_prod_file)] - 
    dd5399a -> 7aff6ee [fail(multi_prod_file)] - 
    a259c9c -> 1b48684 [fail(no_prod_file)] - 
    d7ae75a -> 33417e2 [fail(log_unavailable)] lib/rule-tester/rule-tester.js 
    ab88ec0 -> 2551fa5 [fail(no_prod_file)] - 
    6905d9c -> 2aab5a7 [fail(no_prod_file)] - 
    92e469e -> bc3208c [fail(no_prod_file)] - 
    b9312e6 -> 1b48684 [fail(diff_too_large(3321))] - 
    23c5e5d -> 45584a8 [fail(no_prod_file)] - 
    3707dd0 -> 094a1e6 [fail(no_prod_file)] - 
    9ac84a6 -> cb1156a [fail(no_prod_file)] - 
    53ff9c2 -> 00b8979 [fail(no_prod_file)] - 
    f501bc3 -> 196f217 [fail(no_prod_file)] - 
    8d8bfb7 -> 01915c9 [fail(no_prod_file)] - 
    02b00dc -> 164026a [fail(no_prod_file)] - 
    085179e -> 47ae445 [fail(too_many_commits(83))] - 
    5edea0d -> 196f217 [fail(too_many_commits(21))] - 
    ace5de3 -> 01915c9 [fail(too_many_commits(104))] - 
    397ec3a -> cf7ac91 [fail(diff_too_large(733))] - 
    fdeb0b3 -> cf7ac91 [fail(no_prod_file)] - 
    8a2bd9c -> cd35116 [fail(too_many_commits(62))] - 
